Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-02-05,90.239998,91.760002,89.839996,90.32,90.32,2743163,245
2019-02-06,89.68,91.279999,89.040001,90.559998,90.559998,2399100,246
2019-02-07,90.080002,90.32,87.040001,88.559998,88.559998,2777825,247
2019-02-08,88.800003,89.040001,87.760002,88.639999,88.639999,1734588,248
2019-02-11,86.720001,88.480003,86.160004,88.080002,88.080002,2945863,249
2019-02-12,90.559998,90.720001,89.040001,89.279999,89.279999,2233888,250
2019-02-13,90.400002,91.760002,90.32,90.720001,90.720001,2597725,251
2019-02-14,90.160004,91.839996,89.360001,91.839996,91.839996,3395525,252
2019-02-15,92.879997,93.839996,92.559998,93.68,93.68,2346175,253
2019-02-19,93.120003,94.400002,93.040001,94.239998,94.239998,2636700,254
2019-02-20,93.839996,96.160004,93.760002,95.440002,95.440002,2125913,255
2019-02-21,95.120003,95.519997,94.639999,95.040001,95.040001,1654338,256
2019-02-22,96,96.480003,95.440002,95.599998,95.599998,1635113,257
2019-02-25,93.839996,94.160004,92,92.559998,92.559998,3565650,258
2019-02-26,92.879997,93.599998,92.32,93.040001,93.040001,2493225,259
2019-02-27,94.639999,95.919998,94.080002,95.120003,95.120003,2688475,260
2019-02-28,95.360001,95.919998,94.800003,95.599998,95.599998,1783638,261
2019-03-01,95.599998,96.239998,92.879997,93.279999,93.279999,3959200,262
2019-03-04,94.720001,95.279999,93.440002,94.400002,94.400002,2754200,263
2019-03-05,95.279999,95.440002,94.080002,94.559998,94.559998,2590213,264
2019-03-06,93.68,94.32,92.639999,94,94,3225238,265
2019-03-07,94.639999,94.879997,94,94.480003,94.480003,2221275,266
2019-03-08,92.080002,93.919998,91.120003,93.839996,93.839996,3694688,267
2019-03-11,94.959999,95.199997,94.160004,94.879997,94.879997,2812000,268
2019-03-12,95.519997,96.160004,94.800003,95.120003,95.120003,2052438,269
2019-03-13,96.400002,97.68,96.239998,97.519997,97.519997,3626700,270
2019-03-14,97.760002,98.160004,97.120003,97.760002,97.760002,2648075,271
2019-03-15,96.639999,97.919998,96.480003,97.599998,97.599998,2030775,272
2019-03-18,97.839996,98.959999,97.68,98.480003,98.480003,2304938,273
2019-03-19,99.040001,99.279999,97.919998,98.239998,98.239998,1948513,274
2019-03-20,98.160004,100.160004,98,100,100,2446100,275
2019-03-21,99.839996,100.400002,99.120003,99.519997,99.519997,1866700,276
2019-03-22,98.400002,98.559998,96.879997,97.839996,97.839996,2842488,277
2019-03-25,97.440002,98.639999,96.639999,98,98,2457838,278
2019-03-26,99.919998,100.32,99.199997,99.760002,99.760002,2047625,279
2019-03-27,99.919998,100.080002,97.760002,98.720001,98.720001,2391100,280
2019-03-28,97.199997,98.800003,97.120003,98.800003,98.800003,2587638,281
2019-03-29,100.480003,100.480003,99.360001,100,100,2203938,282
2019-04-01,100.959999,102.639999,100.639999,102.559998,102.559998,2856938,283
2019-04-02,103.040001,104.32,102.800003,104.080002,104.080002,2901425,284
2019-04-03,104,104.480003,103.199997,103.919998,103.919998,3037750,285
2019-04-04,103.839996,104.32,102.879997,103.360001,103.360001,2172100,286
2019-04-05,103.839996,105.360001,103.760002,105.199997,105.199997,2344913,287
2019-04-08,105.839996,107.279999,105.839996,107.199997,107.199997,2982438,288
2019-04-09,106.800003,107.040001,105.919998,106.639999,106.639999,3424225,289
2019-04-10,107.040001,107.68,106.639999,107.279999,107.279999,2108263,290
